,Core,R1,R2
37,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],N#Cc1cccc([*:2])c1
38,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CC(=O)c1ccccc1[*:2]
39,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],NCc1ccc([*:2])cc1
40,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COC(=O)c1ccc([*:2])cc1
41,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],c1ccc(COc2cccc([*:2])c2)cc1
42,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Fc1cc([*:2])cc(F)c1F
43,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Cc1cc(F)ccc1[*:2]
44,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],O=Cc1cc([*:2])ccc1F
45,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1cccc([*:2])c1F
46,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],CCOC(=O)c1cccc([*:2])c1
47,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Cc1ccc([*:2])cc1F
48,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],COc1c(F)cc(F)cc1[*:2]
49,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],Oc1ccc(C[*:1])cc1.[H][*:1],Cc1ccc(F)c([*:2])c1Cl
50,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],c1ccc([*:2])cc1
51,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Brc1ccc([*:2])cc1
52,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],O=[N+]([O-])c1cccc([*:2])c1
53,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Cc1ccc([*:2])cc1
54,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],c1ccc2c(c1)oc1c([*:2])cccc12
55,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],c1ccc2c(c1)Sc1cccc([*:2])c1S2
56,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],CSc1ccc([*:2])cc1
57,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],FC(F)(F)c1cccc([*:2])c1
58,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],O=[N+]([O-])c1ccccc1[*:2]
59,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Cc1ccc([*:2])cc1[N+](=O)[O-]
60,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],CC(=O)Nc1cccc([*:2])c1
61,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Fc1cccc([*:2])c1
62,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],COc1ccccc1[*:2]
63,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Clc1ccccc1[*:2]
64,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Fc1ccccc1[*:2]
65,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],CCOc1ccccc1[*:2]
66,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],OCc1ccc([*:2])cc1
67,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],CCCc1ccc([*:2])cc1
68,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],CCc1ccc([*:2])cc1
69,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Fc1cc([*:2])ccc1OCc1ccccc1
70,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],c1ccc(Oc2ccccc2[*:2])cc1
71,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Cc1cccc(C)c1[*:2]
72,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],c1cc2c(cc1[*:2])OCO2
73,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],COc1ccc([*:2])c(OC)c1
74,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],FC(F)(F)Oc1ccc([*:2])cc1
75,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Fc1c(F)c(F)c([*:2])c(F)c1F
76,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],CC(=O)c1ccc([*:2])cc1
77,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Clc1cccc([*:2])c1Cl
78,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],O=C(O)/C=C/c1cccc([*:2])c1
79,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],O=[N+]([O-])/C=C/c1ccc([*:2])cc1
80,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],COc1c(C)cc([*:2])cc1C
81,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],c1cnc2c([*:2])cccc2c1
82,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],OCc1cccc([*:2])c1
83,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],COc1ccc(C(C)C)cc1[*:2]
84,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],c1ccc2c(c1)sc1c([*:2])cccc12
85,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],COc1ccc([*:2])c(OC)c1OC
86,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],COc1ccc(Cl)cc1[*:2]
87,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],N#Cc1cccc([*:2])c1
88,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],CC(=O)c1ccccc1[*:2]
89,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],NCc1ccc([*:2])cc1
90,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],COC(=O)c1ccc([*:2])cc1
91,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],c1ccc(COc2cccc([*:2])c2)cc1
92,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Fc1cc([*:2])cc(F)c1F
93,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Cc1cc(F)ccc1[*:2]
94,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],O=Cc1cc([*:2])ccc1F
95,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],COc1cccc([*:2])c1F
96,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],CCOC(=O)c1cccc([*:2])c1
97,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Cc1ccc([*:2])cc1F
98,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],COc1c(F)cc(F)cc1[*:2]
99,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],CSC[*:1].[H][*:1],Cc1ccc(F)c([*:2])c1Cl
100,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,c1ccc([*:2])cc1
101,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Brc1ccc([*:2])cc1
102,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,O=[N+]([O-])c1cccc([*:2])c1
103,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Cc1ccc([*:2])cc1
104,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,c1ccc2c(c1)oc1c([*:2])cccc12
105,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,c1ccc2c(c1)Sc1cccc([*:2])c1S2
106,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,CSc1ccc([*:2])cc1
107,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,FC(F)(F)c1cccc([*:2])c1
108,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,O=[N+]([O-])c1ccccc1[*:2]
109,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Cc1ccc([*:2])cc1[N+](=O)[O-]
110,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,CC(=O)Nc1cccc([*:2])c1
