atag,btag,pic50,cl_mouse,cl_human,logd,pampa,MW,logP,TPSA,HA,h_acc,h_don,rings
A46,B06,Inactive,medium (5.6-30.5),low (< 12),1.6,med2high,509.1,4.6,101.3,34.0,7.0,2.0,5.0
A48,B36,,medium (5.6-30.5),,-0.38,,463.1,0.8,154.8,32.0,10.0,2.0,3.0
