,Core,Atag,R1,Btag,R2,pIC50
443,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A09,NC(=O)NC[*:1].[H][*:1],B44,Cc1cc(F)ccc1[*:2],4
444,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A09,NC(=O)NC[*:1].[H][*:1],B45,O=Cc1cc([*:2])ccc1F,Not Made
445,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A09,NC(=O)NC[*:1].[H][*:1],B46,COc1cccc([*:2])c1F,Inactive
446,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A09,NC(=O)NC[*:1].[H][*:1],B47,CCOC(=O)c1cccc([*:2])c1,4.5
447,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A09,NC(=O)NC[*:1].[H][*:1],B48,Cc1ccc([*:2])cc1F,6.1
448,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A09,NC(=O)NC[*:1].[H][*:1],B49,COc1c(F)cc(F)cc1[*:2],Inactive
449,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A09,NC(=O)NC[*:1].[H][*:1],B50,Cc1ccc(F)c([*:2])c1Cl,Not Made
450,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B01,c1ccc([*:2])cc1,Not Made
451,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B02,Brc1ccc([*:2])cc1,Not Made
452,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B03,O=[N+]([O-])c1cccc([*:2])c1,Not Made
453,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B04,Cc1ccc([*:2])cc1,Not Made
454,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B05,c1ccc2c(c1)oc1c([*:2])cccc12,Not Made
455,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B06,c1ccc2c(c1)Sc1cccc([*:2])c1S2,Not Made
456,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B07,CSc1ccc([*:2])cc1,Not Made
457,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B08,FC(F)(F)c1cccc([*:2])c1,Not Made
458,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B09,O=[N+]([O-])c1ccccc1[*:2],Not Made
459,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B10,Cc1ccc([*:2])cc1[N+](=O)[O-],Not Made
460,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B11,CC(=O)Nc1cccc([*:2])c1,Not Made
461,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B12,Fc1cccc([*:2])c1,Not Made
462,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B13,COc1ccccc1[*:2],Not Made
463,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B14,Clc1ccccc1[*:2],Not Made
464,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B15,Fc1ccccc1[*:2],Not Made
465,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B16,CCOc1ccccc1[*:2],Not Made
466,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B17,OCc1ccc([*:2])cc1,Not Made
467,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B18,CCCc1ccc([*:2])cc1,Not Made
468,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B19,CCc1ccc([*:2])cc1,Not Made
469,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B20,Fc1cc([*:2])ccc1OCc1ccccc1,Not Made
470,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B21,c1ccc(Oc2ccccc2[*:2])cc1,Not Made
471,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B22,Cc1cccc(C)c1[*:2],Not Made
472,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B23,c1cc2c(cc1[*:2])OCO2,Not Made
473,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B24,COc1ccc([*:2])c(OC)c1,Not Made
474,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B25,FC(F)(F)Oc1ccc([*:2])cc1,Not Made
475,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B26,Fc1c(F)c(F)c([*:2])c(F)c1F,Not Made
476,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B27,CC(=O)c1ccc([*:2])cc1,Not Made
477,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B28,Clc1cccc([*:2])c1Cl,Not Made
478,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B29,O=C(O)/C=C/c1cccc([*:2])c1,Not Made
479,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B30,O=[N+]([O-])/C=C/c1ccc([*:2])cc1,Not Made
480,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B31,COc1c(C)cc([*:2])cc1C,Not Made
481,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B32,c1cnc2c([*:2])cccc2c1,Not Made
482,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B33,OCc1cccc([*:2])c1,Not Made
483,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B34,COc1ccc(C(C)C)cc1[*:2],Not Made
484,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B35,c1ccc2c(c1)sc1c([*:2])cccc12,Not Made
485,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B36,COc1ccc([*:2])c(OC)c1OC,Not Made
486,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B37,COc1ccc(Cl)cc1[*:2],Not Made
487,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B38,N#Cc1cccc([*:2])c1,Not Made
488,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B39,CC(=O)c1ccccc1[*:2],Not Made
489,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B40,NCc1ccc([*:2])cc1,Not Made
490,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B41,COC(=O)c1ccc([*:2])cc1,Not Made
491,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B42,c1ccc(COc2cccc([*:2])c2)cc1,Not Made
492,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B43,Fc1cc([*:2])cc(F)c1F,Not Made
493,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B44,Cc1cc(F)ccc1[*:2],Not Made
494,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B45,O=Cc1cc([*:2])ccc1F,Not Made
495,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B46,COc1cccc([*:2])c1F,Not Made
496,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B47,CCOC(=O)c1cccc([*:2])c1,Not Made
497,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B48,Cc1ccc([*:2])cc1F,Not Made
498,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B49,COc1c(F)cc(F)cc1[*:2],Not Made
499,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A10,NC(=O)SC[*:1].[H][*:1],B50,Cc1ccc(F)c([*:2])c1Cl,Not Made
500,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B01,c1ccc([*:2])cc1,5.3
501,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B02,Brc1ccc([*:2])cc1,6.2
502,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B03,O=[N+]([O-])c1cccc([*:2])c1,4.5
503,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B04,Cc1ccc([*:2])cc1,6.1
504,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B05,c1ccc2c(c1)oc1c([*:2])cccc12,5.7
505,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B06,c1ccc2c(c1)Sc1cccc([*:2])c1S2,4.7
506,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B07,CSc1ccc([*:2])cc1,6.3
507,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B08,FC(F)(F)c1cccc([*:2])c1,4.4
508,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B09,O=[N+]([O-])c1ccccc1[*:2],Inactive
509,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B10,Cc1ccc([*:2])cc1[N+](=O)[O-],5.9
510,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B11,CC(=O)Nc1cccc([*:2])c1,5.5
511,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B12,Fc1cccc([*:2])c1,5.3
512,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B13,COc1ccccc1[*:2],4.8
513,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B14,Clc1ccccc1[*:2],4.4
514,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B15,Fc1ccccc1[*:2],5.7
515,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B16,CCOc1ccccc1[*:2],3.9
516,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B17,OCc1ccc([*:2])cc1,5.7
517,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B18,CCCc1ccc([*:2])cc1,6.9
518,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B19,CCc1ccc([*:2])cc1,6.5
519,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B20,Fc1cc([*:2])ccc1OCc1ccccc1,6.7
520,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B21,c1ccc(Oc2ccccc2[*:2])cc1,4.9
521,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B22,Cc1cccc(C)c1[*:2],Inactive
522,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B23,c1cc2c(cc1[*:2])OCO2,5.5
523,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B24,COc1ccc([*:2])c(OC)c1,4.2
524,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B25,FC(F)(F)Oc1ccc([*:2])cc1,6.9
525,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B26,Fc1c(F)c(F)c([*:2])c(F)c1F,3.8
526,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B27,CC(=O)c1ccc([*:2])cc1,5.9
527,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B28,Clc1cccc([*:2])c1Cl,3.9
528,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B29,O=C(O)/C=C/c1cccc([*:2])c1,Inactive
529,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B30,O=[N+]([O-])/C=C/c1ccc([*:2])cc1,Not Made
530,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B31,COc1c(C)cc([*:2])cc1C,4.4
531,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B32,c1cnc2c([*:2])cccc2c1,Inactive
532,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B33,OCc1cccc([*:2])c1,6.2
533,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B34,COc1ccc(C(C)C)cc1[*:2],Inactive
534,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B35,c1ccc2c(c1)sc1c([*:2])cccc12,Assay Failed
535,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B36,COc1ccc([*:2])c(OC)c1OC,Inactive
536,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B37,COc1ccc(Cl)cc1[*:2],Inactive
537,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B38,N#Cc1cccc([*:2])c1,4.7
538,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B39,CC(=O)c1ccccc1[*:2],Inactive
539,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B40,NCc1ccc([*:2])cc1,Not Made
540,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B41,COC(=O)c1ccc([*:2])cc1,4.6
541,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B42,c1ccc(COc2cccc([*:2])c2)cc1,3.9
542,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B43,Fc1cc([*:2])cc(F)c1F,5.2
543,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B44,Cc1cc(F)ccc1[*:2],4.2
544,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B45,O=Cc1cc([*:2])ccc1F,5.8
545,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B46,COc1cccc([*:2])c1F,Not Made
546,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B47,CCOC(=O)c1cccc([*:2])c1,3.8
547,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B48,Cc1ccc([*:2])cc1F,6.1
548,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B49,COc1c(F)cc(F)cc1[*:2],Inactive
549,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A11,[H][*:1].[H][*:1],B50,Cc1ccc(F)c([*:2])c1Cl,3.8
550,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B01,c1ccc([*:2])cc1,5.4
551,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B02,Brc1ccc([*:2])cc1,5.8
552,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B03,O=[N+]([O-])c1cccc([*:2])c1,4.7
553,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B04,Cc1ccc([*:2])cc1,5.9
554,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B05,c1ccc2c(c1)oc1c([*:2])cccc12,4.9
555,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B06,c1ccc2c(c1)Sc1cccc([*:2])c1S2,Not Made
556,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B07,CSc1ccc([*:2])cc1,Not Made
557,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B08,FC(F)(F)c1cccc([*:2])c1,4.9
558,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B09,O=[N+]([O-])c1ccccc1[*:2],Not Made
559,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B10,Cc1ccc([*:2])cc1[N+](=O)[O-],Not Made
560,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B11,CC(=O)Nc1cccc([*:2])c1,Not Made
561,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B12,Fc1cccc([*:2])c1,5
562,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B13,COc1ccccc1[*:2],4.5
563,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B14,Clc1ccccc1[*:2],4.9
564,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B15,Fc1ccccc1[*:2],5.6
565,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B16,CCOc1ccccc1[*:2],5.2
566,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B17,OCc1ccc([*:2])cc1,Not Made
567,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B18,CCCc1ccc([*:2])cc1,7.3
568,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B19,CCc1ccc([*:2])cc1,6.4
569,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B20,Fc1cc([*:2])ccc1OCc1ccccc1,Not Made
570,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B21,c1ccc(Oc2ccccc2[*:2])cc1,Not Made
571,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B22,Cc1cccc(C)c1[*:2],Not Made
572,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B23,c1cc2c(cc1[*:2])OCO2,5.3
573,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B24,COc1ccc([*:2])c(OC)c1,Not Made
574,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B25,FC(F)(F)Oc1ccc([*:2])cc1,6.6
575,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B26,Fc1c(F)c(F)c([*:2])c(F)c1F,Not Made
576,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B27,CC(=O)c1ccc([*:2])cc1,Not Made
577,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B28,Clc1cccc([*:2])c1Cl,5
578,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B29,O=C(O)/C=C/c1cccc([*:2])c1,4.7
579,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B30,O=[N+]([O-])/C=C/c1ccc([*:2])cc1,Not Made
580,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B31,COc1c(C)cc([*:2])cc1C,4.8
581,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B32,c1cnc2c([*:2])cccc2c1,Not Made
582,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B33,OCc1cccc([*:2])c1,Not Made
583,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B34,COc1ccc(C(C)C)cc1[*:2],4.5
584,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B35,c1ccc2c(c1)sc1c([*:2])cccc12,5.1
585,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B36,COc1ccc([*:2])c(OC)c1OC,Inactive
586,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B37,COc1ccc(Cl)cc1[*:2],4.3
587,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B38,N#Cc1cccc([*:2])c1,Not Made
588,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B39,CC(=O)c1ccccc1[*:2],Not Made
589,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B40,NCc1ccc([*:2])cc1,Not Made
590,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B41,COC(=O)c1ccc([*:2])cc1,5.7
591,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B42,c1ccc(COc2cccc([*:2])c2)cc1,5.2
592,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B43,Fc1cc([*:2])cc(F)c1F,Not Made
593,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B44,Cc1cc(F)ccc1[*:2],4.5
594,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B45,O=Cc1cc([*:2])ccc1F,Not Made
595,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B46,COc1cccc([*:2])c1F,4.4
596,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A12,FC(F)(F)C(C(F)(F)F)[*:1].[H][*:1],B47,CCOC(=O)c1cccc([*:2])c1,4.5
