,Core,Atag,R1,Btag,R2,pIC50
33,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B34,COc1ccc(C(C)C)cc1[*:2],4.4
34,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B35,c1ccc2c(c1)sc1c([*:2])cccc12,5.2
35,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B36,COc1ccc([*:2])c(OC)c1OC,Not Made
36,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B37,COc1ccc(Cl)cc1[*:2],4
37,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B38,N#Cc1cccc([*:2])c1,4.9
38,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B39,CC(=O)c1ccccc1[*:2],Inactive
39,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B40,NCc1ccc([*:2])cc1,Not Made
40,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B41,COC(=O)c1ccc([*:2])cc1,6.4
41,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B42,c1ccc(COc2cccc([*:2])c2)cc1,4.9
42,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B43,Fc1cc([*:2])cc(F)c1F,5.9
43,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B44,Cc1cc(F)ccc1[*:2],4.9
44,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B45,O=Cc1cc([*:2])ccc1F,Not Made
45,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B46,COc1cccc([*:2])c1F,4.2
46,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B47,CCOC(=O)c1cccc([*:2])c1,5.4
47,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B48,Cc1ccc([*:2])cc1F,6.7
48,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B49,COc1c(F)cc(F)cc1[*:2],Assay Failed
49,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A01,Oc1ccc(C[*:1])cc1.[H][*:1],B50,Cc1ccc(F)c([*:2])c1Cl,Not Made
50,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B01,c1ccc([*:2])cc1,5.4
51,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B02,Brc1ccc([*:2])cc1,Not Made
52,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B03,O=[N+]([O-])c1cccc([*:2])c1,4.4
53,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B04,Cc1ccc([*:2])cc1,6.6
54,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B05,c1ccc2c(c1)oc1c([*:2])cccc12,4.8
55,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B06,c1ccc2c(c1)Sc1cccc([*:2])c1S2,5.4
56,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B07,CSc1ccc([*:2])cc1,7.1
57,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B08,FC(F)(F)c1cccc([*:2])c1,4.8
58,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B09,O=[N+]([O-])c1ccccc1[*:2],Not Made
59,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B10,Cc1ccc([*:2])cc1[N+](=O)[O-],5.1
60,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B11,CC(=O)Nc1cccc([*:2])c1,5.3
61,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B12,Fc1cccc([*:2])c1,5.2
62,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B13,COc1ccccc1[*:2],3.9
63,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B14,Clc1ccccc1[*:2],4.6
64,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B15,Fc1ccccc1[*:2],5.5
65,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B16,CCOc1ccccc1[*:2],4.2
66,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B17,OCc1ccc([*:2])cc1,6
67,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B18,CCCc1ccc([*:2])cc1,7
68,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B19,CCc1ccc([*:2])cc1,7
69,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B20,Fc1cc([*:2])ccc1OCc1ccccc1,6.9
70,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B21,c1ccc(Oc2ccccc2[*:2])cc1,4.9
71,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B22,Cc1cccc(C)c1[*:2],4.1
72,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B23,c1cc2c(cc1[*:2])OCO2,5.7
73,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B24,COc1ccc([*:2])c(OC)c1,4.1
74,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B25,FC(F)(F)Oc1ccc([*:2])cc1,7
75,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B26,Fc1c(F)c(F)c([*:2])c(F)c1F,Not Made
76,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B27,CC(=O)c1ccc([*:2])cc1,6.4
77,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B28,Clc1cccc([*:2])c1Cl,Inactive
78,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B29,O=C(O)/C=C/c1cccc([*:2])c1,4.3
79,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B30,O=[N+]([O-])/C=C/c1ccc([*:2])cc1,5.7
80,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B31,COc1c(C)cc([*:2])cc1C,5
81,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B32,c1cnc2c([*:2])cccc2c1,4.2
82,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B33,OCc1cccc([*:2])c1,6.4
83,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B34,COc1ccc(C(C)C)cc1[*:2],Inactive
84,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B35,c1ccc2c(c1)sc1c([*:2])cccc12,5.1
85,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B36,COc1ccc([*:2])c(OC)c1OC,Inactive
86,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B37,COc1ccc(Cl)cc1[*:2],Inactive
87,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B38,N#Cc1cccc([*:2])c1,4.2
88,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B39,CC(=O)c1ccccc1[*:2],Inactive
89,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B40,NCc1ccc([*:2])cc1,Not Made
90,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B41,COC(=O)c1ccc([*:2])cc1,Not Made
91,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B42,c1ccc(COc2cccc([*:2])c2)cc1,5.1
92,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B43,Fc1cc([*:2])cc(F)c1F,6.1
93,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B44,Cc1cc(F)ccc1[*:2],Inactive
94,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B45,O=Cc1cc([*:2])ccc1F,Not Made
95,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B46,COc1cccc([*:2])c1F,Inactive
96,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B47,CCOC(=O)c1cccc([*:2])c1,4.5
97,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B48,Cc1ccc([*:2])cc1F,6.7
98,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B49,COc1c(F)cc(F)cc1[*:2],Assay Failed
99,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A02,CSC[*:1].[H][*:1],B50,Cc1ccc(F)c([*:2])c1Cl,Not Made
100,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B01,c1ccc([*:2])cc1,6.7
101,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B02,Brc1ccc([*:2])cc1,6.8
102,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B03,O=[N+]([O-])c1cccc([*:2])c1,5.8
103,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B04,Cc1ccc([*:2])cc1,7
104,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B05,c1ccc2c(c1)oc1c([*:2])cccc12,5.2
105,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B06,c1ccc2c(c1)Sc1cccc([*:2])c1S2,5.3
106,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B07,CSc1ccc([*:2])cc1,7.3
107,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B08,FC(F)(F)c1cccc([*:2])c1,5.6
108,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B09,O=[N+]([O-])c1ccccc1[*:2],4.3
109,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B10,Cc1ccc([*:2])cc1[N+](=O)[O-],6
110,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B11,CC(=O)Nc1cccc([*:2])c1,6.9
111,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B12,Fc1cccc([*:2])c1,6.7
112,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B13,COc1ccccc1[*:2],4.5
113,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B14,Clc1ccccc1[*:2],5
114,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B15,Fc1ccccc1[*:2],6.2
115,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B16,CCOc1ccccc1[*:2],4.9
116,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B17,OCc1ccc([*:2])cc1,7
117,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B18,CCCc1ccc([*:2])cc1,7.5
118,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B19,CCc1ccc([*:2])cc1,7.1
119,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B20,Fc1cc([*:2])ccc1OCc1ccccc1,6.4
120,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B21,c1ccc(Oc2ccccc2[*:2])cc1,5.6
121,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B22,Cc1cccc(C)c1[*:2],4.3
122,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B23,c1cc2c(cc1[*:2])OCO2,6.5
123,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B24,COc1ccc([*:2])c(OC)c1,5.4
124,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B25,FC(F)(F)Oc1ccc([*:2])cc1,Assay Failed
125,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B26,Fc1c(F)c(F)c([*:2])c(F)c1F,Not Made
126,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B27,CC(=O)c1ccc([*:2])cc1,7.1
127,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B28,Clc1cccc([*:2])c1Cl,Not Made
128,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B29,O=C(O)/C=C/c1cccc([*:2])c1,Not Made
129,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B30,O=[N+]([O-])/C=C/c1ccc([*:2])cc1,Not Made
130,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B31,COc1c(C)cc([*:2])cc1C,5.6
131,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B32,c1cnc2c([*:2])cccc2c1,Not Made
